Code,Area,Housing_Average,Housing_Median,CC_w_MSOA,BC_w_MSOA,crime_rate,NOx_index,Num_Schools_MSOA,E02000001,percent_green_blue,AVERAGE_AGE
E02000002,Barking and Dagenham 001,291021.25,310112.5,3.667651007,17128909.83,77.0,74.0,2,18021.79222,63.2899386,63.454801135
E02000003,Barking and Dagenham 002,316439.5,331500.0,3.742010582,38405860.6,77.0,82.0,3,17492.30288,63.2899386,81.46395916
E02000004,Barking and Dagenham 003,333975.75,337750.0,3.491686747,1734522.072,44.0,70.0,1,19200.53786,60.82279605,68.54283201999999
E02000005,Barking and Dagenham 004,325209.75,327000.0,3.771029412,35873254.68,68.0,82.0,3,17137.54002,38.89752296,90.87689394200001
E02000007,Barking and Dagenham 006,287400.75,297875.0,3.661342282,31617153.23,102.0,78.0,2,17963.6887,50.28624081,69.56843983
E02000008,Barking and Dagenham 007,282557.5,291687.5,3.851637427,14236292.95,66.0,84.0,6,16330.98908,45.74184823,91.08798645285715
E02000009,Barking and Dagenham 008,289244.0,294925.0,4.014246575,25353425.19,75.0,85.0,2,15162.16835,36.08963393,79.63982315166668
E02000010,Barking and Dagenham 009,284603.0,297971.0,3.729462366,4513575.108,59.0,79.0,2,17063.8256,45.96126069,90.48755977
E02000011,Barking and Dagenham 010,303354.5,318875.0,3.588426966,2412926.674,76.0,74.0,3,18441.93749,60.82279605,76.89069355
E02000012,Barking and Dagenham 011,416188.5,430875.0,4.197398374,47737100.03,63.0,89.0,3,13643.88082,47.87052634,79.08737808800001
E02000013,Barking and Dagenham 012,302289.5,299187.5,4.000357143,8721122.063,64.0,82.0,2,15223.3685,59.38971267,94.530668766
E02000014,Barking and Dagenham 013,288885.5,293937.5,3.79245098,17928247.27,92.0,84.0,5,16630.98589,32.8603488,94.06951921333332
E02000015,Barking and Dagenham 014,262937.25,267875.0,3.641783439,18500602.6,103.0,75.0,1,17841.29123,58.2153351,57.615040155
E02000016,Barking and Dagenham 015,225405.0,224139.75,4.473115942,68572435.97,203.0,109.0,6,11941.93142,30.32142886,46.528044975
