MSOA_CODE,MSOA_NAME,ALL_PROPERTIES_ACTUAL,AVERAGE_AGE
E02000002,Barking and Dagenham 001,644,60.28416149
E02000002,Barking and Dagenham 001,660,58.68181818
E02000002,Barking and Dagenham 001,671,69.56408346
E02000002,Barking and Dagenham 001,792,65.28914141
E02000003,Barking and Dagenham 002,631,77.74326466
E02000003,Barking and Dagenham 002,664,85.6378012
E02000003,Barking and Dagenham 002,523,86.01338432
E02000003,Barking and Dagenham 002,752,73.58244681
E02000003,Barking and Dagenham 002,761,68.93166886
E02000003,Barking and Dagenham 002,661,96.87518911
E02000004,Barking and Dagenham 003,523,63.96367113
E02000004,Barking and Dagenham 003,563,76.32326821
E02000004,Barking and Dagenham 003,606,82.06188119
E02000004,Barking and Dagenham 003,662,51.82250755
E02000005,Barking and Dagenham 004,611,95.02045827
E02000005,Barking and Dagenham 004,613,96.60603589
E02000005,Barking and Dagenham 004,653,95.24349158
E02000005,Barking and Dagenham 004,631,86.30348653
E02000005,Barking and Dagenham 004,782,81.21099744
E02000007,Barking and Dagenham 006,571,72.11471103
E02000007,Barking and Dagenham 006,744,77.5094086
E02000007,Barking and Dagenham 006,702,50.55626781
E02000007,Barking and Dagenham 006,754,84.58952255
E02000007,Barking and Dagenham 006,830,63.07228916
E02000008,Barking and Dagenham 007,840,77.75
E02000008,Barking and Dagenham 007,651,92.15437788
E02000008,Barking and Dagenham 007,590,95.84745763
E02000008,Barking and Dagenham 007,635,97.53307087
E02000008,Barking and Dagenham 007,650,83.74615385
E02000008,Barking and Dagenham 007,612,96.01062092
E02000008,Barking and Dagenham 007,741,94.57422402
E02000009,Barking and Dagenham 008,591,82.10236887
E02000009,Barking and Dagenham 008,531,83.35122411
E02000009,Barking and Dagenham 008,1320,37.66287879
E02000009,Barking and Dagenham 008,441,95.9739229
E02000009,Barking and Dagenham 008,652,85.73159509
E02000009,Barking and Dagenham 008,590,93.01694915
E02000010,Barking and Dagenham 009,860,73.6627907
E02000010,Barking and Dagenham 009,641,97.71060842
E02000010,Barking and Dagenham 009,672,95.85863095
E02000010,Barking and Dagenham 009,631,95.47226624
E02000010,Barking and Dagenham 009,591,89.73350254
E02000011,Barking and Dagenham 010,595,75.05966387
E02000011,Barking and Dagenham 010,484,86.30681818
E02000011,Barking and Dagenham 010,624,79.77163462
E02000011,Barking and Dagenham 010,730,66.42465753
E02000012,Barking and Dagenham 011,702,78.24358974
E02000012,Barking and Dagenham 011,682,82.58651026
E02000012,Barking and Dagenham 011,532,85.53947368
E02000012,Barking and Dagenham 011,602,87.48089701
E02000012,Barking and Dagenham 011,810,61.58641975
E02000013,Barking and Dagenham 012,572,88.06730769
E02000013,Barking and Dagenham 012,640,98
E02000013,Barking and Dagenham 012,642,97.85825545
E02000013,Barking and Dagenham 012,641,93.87285491
E02000013,Barking and Dagenham 012,741,94.85492578
E02000014,Barking and Dagenham 013,662,94.87462236
E02000014,Barking and Dagenham 013,662,92.94561934
E02000014,Barking and Dagenham 013,600,94.25833333
E02000014,Barking and Dagenham 013,520,97.59615385
E02000014,Barking and Dagenham 013,613,92.9730832
E02000014,Barking and Dagenham 013,531,91.7693032
E02000015,Barking and Dagenham 014,624,57.12900641
E02000015,Barking and Dagenham 014,662,58.84063444
E02000015,Barking and Dagenham 014,1051,60.08515699
E02000015,Barking and Dagenham 014,951,54.40536278
E02000016,Barking and Dagenham 015,931,31.58754028
E02000016,Barking and Dagenham 015,531,53.43220339
E02000016,Barking and Dagenham 015,1212,51.56683168
E02000016,Barking and Dagenham 015,703,49.52560455
E02000017,Barking and Dagenham 016,541,77.24491682
E02000017,Barking and Dagenham 016,660,76.5
E02000017,Barking and Dagenham 016,463,115.3736501
E02000017,Barking and Dagenham 016,634,101.8548896
E02000017,Barking and Dagenham 016,513,96.84697856
E02000018,Barking and Dagenham 017,612,97.72385621
E02000018,Barking and Dagenham 017,711,67.66455696
E02000018,Barking and Dagenham 017,602,89.98671096
E02000018,Barking and Dagenham 017,641,81.85803432
E02000018,Barking and Dagenham 017,772,79.19689119
E02000019,Barking and Dagenham 018,652,97.61809816
E02000019,Barking and Dagenham 018,571,97.95534151
E02000019,Barking and Dagenham 018,592,72.47297297
E02000019,Barking and Dagenham 018,700,80.71428571
E02000019,Barking and Dagenham 018,600,47.875
E02000020,Barking and Dagenham 019,673,76.83878158
E02000020,Barking and Dagenham 019,480,92.4375
E02000020,Barking and Dagenham 019,621,82.04911433
E02000020,Barking and Dagenham 019,801,92.71473159
E02000020,Barking and Dagenham 019,1415,39.78162544
E02000021,Barking and Dagenham 020,660,61.08333333
E02000021,Barking and Dagenham 020,511,85.34637965
E02000021,Barking and Dagenham 020,623,77.64686998
E02000021,Barking and Dagenham 020,642,87.59423676
E02000021,Barking and Dagenham 020,567,86.37566138
E02000022,Barking and Dagenham 021,650,57.18461538
E02000022,Barking and Dagenham 021,641,61.66536661
E02000022,Barking and Dagenham 021,520,55.09615385
E02000022,Barking and Dagenham 021,792,29.61994949
E02000022,Barking and Dagenham 021,681,38.62408223
E02000023,Barking and Dagenham 022,711,57.80942335
E02000023,Barking and Dagenham 022,653,65.96477795
E02000023,Barking and Dagenham 022,692,28.73121387
E02000023,Barking and Dagenham 022,441,51.84126984
E02006799,Barking and Dagenham 023,521,92.47120921
E02006799,Barking and Dagenham 023,670,82.76865672
E02006799,Barking and Dagenham 023,721,81.92024965
E02006799,Barking and Dagenham 023,663,94.03921569
E02006799,Barking and Dagenham 023,861,75.98954704
E02006799,Barking and Dagenham 023,491,86.9898167
E02000024,Barnet 001,693,109.3333333
E02000024,Barnet 001,603,92.84079602
E02000024,Barnet 001,1101,69.5
E02000024,Barnet 001,680,99.57352941
E02000024,Barnet 001,660,73.72727273
E02000024,Barnet 001,685,99.14963504
E02000025,Barnet 002,543,72.83241252
E02000025,Barnet 002,670,77.30597015
E02000025,Barnet 002,771,68.55966278
E02000025,Barnet 002,970,65.44329897
E02000025,Barnet 002,750,68.84
E02000026,Barnet 003,661,56.63313162
E02000026,Barnet 003,592,76.08868243
E02000026,Barnet 003,711,78.93248945
E02000026,Barnet 003,612,76.62826797
E02000027,Barnet 004,651,55.52611367
E02000027,Barnet 004,641,75.46957878
E02000027,Barnet 004,582,84.95446735
E02000027,Barnet 004,640,61.9453125
E02000027,Barnet 004,610,53.53278689
E02000027,Barnet 004,711,70.00421941
E02000028,Barnet 005,583,76.07890223
E02000028,Barnet 005,800,64.225
E02000028,Barnet 005,554,83.03068592
E02000028,Barnet 005,631,68.9318542
E02000029,Barnet 006,700,85.04285714
E02000029,Barnet 006,882,72.95238095
E02000029,Barnet 006,625,79.1256
E02000029,Barnet 006,772,82.34715026
E02000029,Barnet 006,632,76.97705696
E02000030,Barnet 007,492,77.0945122
E02000030,Barnet 007,620,68.54032258
E02000030,Barnet 007,530,75.08490566
E02000030,Barnet 007,522,82.70881226
E02000030,Barnet 007,664,72.53990964
E02000030,Barnet 007,692,58.50289017
E02000031,Barnet 008,613,70.03425775
E02000031,Barnet 008,481,80.87837838
E02000031,Barnet 008,710,71.37323944
E02000031,Barnet 008,561,60.79768271
E02000031,Barnet 008,692,87.70520231
E02000032,Barnet 009,484,85.26033058
E02000032,Barnet 009,623,85.27287319
E02000032,Barnet 009,631,75.49524564
E02000032,Barnet 009,500,87.2
E02000032,Barnet 009,541,80.93253235
E02000033,Barnet 010,791,78.79519595
E02000033,Barnet 010,721,77.16088766
E02000033,Barnet 010,502,43.53884462
E02000033,Barnet 010,692,82.55635838
E02000033,Barnet 010,691,75.61432706
E02000034,Barnet 011,823,83.36026731
E02000034,Barnet 011,541,87.97042514
E02000034,Barnet 011,721,81.86477115
E02000034,Barnet 011,661,83.38804841
E02000034,Barnet 011,781,81.63828425
E02000035,Barnet 012,690,57.87681159
E02000035,Barnet 012,850,54.34705882
E02000035,Barnet 012,486,80.54218107
E02000035,Barnet 012,821,68.54384896
E02000035,Barnet 012,760,91.88815789
E02000036,Barnet 013,730,49.21232877
E02000036,Barnet 013,612,68.69117647
E02000036,Barnet 013,692,70.82442197
E02000036,Barnet 013,662,85.55438066
E02000036,Barnet 013,731,67.36593707
E02000036,Barnet 013,646,84.51857585
E02000037,Barnet 014,502,86.97609562
E02000037,Barnet 014,604,63.93543046
E02000037,Barnet 014,521,75.38771593
E02000037,Barnet 014,681,21.58223201
E02000037,Barnet 014,590,75.88135593
E02000037,Barnet 014,532,74.78101504
E02000038,Barnet 015,573,103.5270506
E02000038,Barnet 015,670,81.39552239
E02000038,Barnet 015,675,76.36518519
E02000038,Barnet 015,960,63.27083333
E02000038,Barnet 015,542,84.5599631
E02000038,Barnet 015,662,86.68504532
E02000039,Barnet 016,672,66.50520833
E02000039,Barnet 016,710,88.29577465
E02000039,Barnet 016,513,85.8791423
E02000039,Barnet 016,722,82.06440443
E02000040,Barnet 017,543,72.44935543
E02000040,Barnet 017,732,64.06284153
E02000040,Barnet 017,681,83.37665198
E02000040,Barnet 017,851,56.08049354
E02000041,Barnet 018,750,76.32666667
E02000041,Barnet 018,621,80.74798712
E02000041,Barnet 018,651,89.60215054
E02000041,Barnet 018,642,90.43691589
E02000041,Barnet 018,614,86.49348534
E02000042,Barnet 019,792,80.57323232
E02000042,Barnet 019,670,92.13432836
E02000042,Barnet 019,891,68.42817059
E02000042,Barnet 019,681,89.34581498
E02000042,Barnet 019,622,97.76848875
E02000042,Barnet 019,850,84.11764706
E02000043,Barnet 020,505,81.73168317
E02000043,Barnet 020,523,87.13479924
E02000043,Barnet 020,551,88.51633394
E02000043,Barnet 020,560,90.41071429
E02000043,Barnet 020,614,100.5358306
E02000044,Barnet 021,631,62.0911252
E02000044,Barnet 021,520,96.61538462
E02000044,Barnet 021,603,96.12686567
E02000044,Barnet 021,711,80.24261603
E02000044,Barnet 021,584,93.44178082
E02000045,Barnet 022,721,99.88834951
E02000045,Barnet 022,700,78.23571429
E02000045,Barnet 022,790,56.32911392
E02000045,Barnet 022,672,67.95684524
E02000045,Barnet 022,700,29.4
E02000045,Barnet 022,622,71.53215434
E02000046,Barnet 023,713,108.1199158
E02000046,Barnet 023,670,94.55223881
E02000046,Barnet 023,780,91.10897436
E02000046,Barnet 023,752,96.40558511
E02000047,Barnet 024,1021,41.34916748
E02000047,Barnet 024,531,97.98022599
E02000047,Barnet 024,631,95.20998415
E02000047,Barnet 024,633,83.98736177
E02000047,Barnet 024,671,70.23472429
E02000047,Barnet 024,612,73.44281046
E02000048,Barnet 025,761,69.87844941
E02000048,Barnet 025,702,68.40384615
E02000048,Barnet 025,700,87.89285714
E02000048,Barnet 025,1013,60.70088845
E02000048,Barnet 025,784,61.0440051
E02000049,Barnet 026,790,32.62025316
E02000049,Barnet 026,631,43.84706815
E02000049,Barnet 026,590,41.98305085
E02000049,Barnet 026,911,33.62513721
E02000049,Barnet 026,430,45.84883721
E02000050,Barnet 027,710,60.4084507
E02000050,Barnet 027,680,89.09558824
E02000050,Barnet 027,632,50.17325949
E02000050,Barnet 027,572,104.9090909
E02000050,Barnet 027,872,73.29013761
