Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000001,City of London 001,2017,Mean,929037,953512,961783,950760,948773
E02000002,Barking and Dagenham 001,2017,Mean,275289,291803,300302,296691,291021.25
E02000003,Barking and Dagenham 002,2017,Mean,310171,311167,323874,320546,316439.5
E02000004,Barking and Dagenham 003,2017,Mean,339569,330511,332531,333292,333975.75
E02000005,Barking and Dagenham 004,2017,Mean,324117,327888,325795,323039,325209.75
E02000007,Barking and Dagenham 006,2017,Mean,285170,281894,286960,295579,287400.75
E02000008,Barking and Dagenham 007,2017,Mean,278247,279976,285566,286441,282557.5
E02000009,Barking and Dagenham 008,2017,Mean,291478,289519,289998,285981,289244
E02000010,Barking and Dagenham 009,2017,Mean,282668,279680,286727,289337,284603
E02000011,Barking and Dagenham 010,2017,Mean,300592,301563,303182,308081,303354.5
E02000012,Barking and Dagenham 011,2017,Mean,422078,419833,415314,407529,416188.5
E02000013,Barking and Dagenham 012,2017,Mean,294431,306075,303247,305405,302289.5
E02000014,Barking and Dagenham 013,2017,Mean,294854,291913,288230,280545,288885.5
E02000015,Barking and Dagenham 014,2017,Mean,249223,268356,271662,262508,262937.25
E02000016,Barking and Dagenham 015,2017,Mean,222277,225299,227508,226536,225405
E02000017,Barking and Dagenham 016,2017,Mean,335145,328430,343519,348509,338900.75
E02000018,Barking and Dagenham 017,2017,Mean,321657,338139,327203,313259,325064.5
E02000019,Barking and Dagenham 018,2017,Mean,294148,292249,293959,291721,293019.25
E02000020,Barking and Dagenham 019,2017,Mean,283388,289955,291688,296002,290258.25
E02000021,Barking and Dagenham 020,2017,Mean,271463,276744,280052,280707,277241.5
E02000022,Barking and Dagenham 021,2017,Mean,227833,238400,231338,235028,233149.75
E02000023,Barking and Dagenham 022,2017,Mean,234655,247283,251872,263846,249414
E02006799,Barking and Dagenham 023,2017,Mean,295752,302336,299377,306067,300883
E02000024,Barnet 001,2017,Mean,579179,567568,585257,605879,584470.75
E02000025,Barnet 002,2017,Mean,481734,508522,486238,479642,489034
E02000026,Barnet 003,2017,Mean,561494,537196,557653,578903,558811.5
E02000027,Barnet 004,2017,Mean,502504,504801,477697,473710,489678
E02000028,Barnet 005,2017,Mean,516016,538998,541241,564232,540121.75
E02000029,Barnet 006,2017,Mean,470294,461393,479002,484909,473899.5
E02000030,Barnet 007,2017,Mean,1114569,1097321,1165714,1139461,1129266.25
E02000031,Barnet 008,2017,Mean,688190,656446,671629,666267,670633
E02000032,Barnet 009,2017,Mean,696668,700429,675467,677451,687503.75
E02000033,Barnet 010,2017,Mean,469304,465500,466479,488188,472367.75
E02000034,Barnet 011,2017,Mean,533350,530039,525231,551143,534940.75
E02000035,Barnet 012,2017,Mean,648250,637291,646226,619466,637808.25
