MSOA11CD,MSOA11NM,BC_w_MSOA
E02000001,City of London 001,302024.375
E02000002,Barking and Dagenham 001,17128909.83
E02000003,Barking and Dagenham 002,38405860.6
E02000004,Barking and Dagenham 003,1734522.072
E02000005,Barking and Dagenham 004,35873254.68
E02000007,Barking and Dagenham 006,31617153.23
E02000008,Barking and Dagenham 007,14236292.95
E02000009,Barking and Dagenham 008,25353425.19
E02000010,Barking and Dagenham 009,4513575.108
E02000011,Barking and Dagenham 010,2412926.674
E02000012,Barking and Dagenham 011,47737100.03
E02000013,Barking and Dagenham 012,8721122.063
E02000014,Barking and Dagenham 013,17928247.27
E02000015,Barking and Dagenham 014,18500602.6
E02000016,Barking and Dagenham 015,68572435.97
E02000017,Barking and Dagenham 016,86736838.81
E02000018,Barking and Dagenham 017,30975551.16
E02000019,Barking and Dagenham 018,17295728.17
E02000020,Barking and Dagenham 019,13921626.46
E02000021,Barking and Dagenham 020,19109183.35
E02000022,Barking and Dagenham 021,26254508.25
E02000023,Barking and Dagenham 022,8466095.407
E02000024,Barnet 001,7337204.744
E02000025,Barnet 002,4938587.28
E02000026,Barnet 003,6039437.083
E02000027,Barnet 004,6395437.044
E02000028,Barnet 005,22513670.92
E02000029,Barnet 006,12095533.05
E02000030,Barnet 007,15338020.8
E02000031,Barnet 008,40361140.49
E02000032,Barnet 009,9516641.304
E02000033,Barnet 010,17066397.55
E02000034,Barnet 011,31152385.89
E02000035,Barnet 012,13113520.58
E02000036,Barnet 013,12719899.07
E02000037,Barnet 014,13500043.69
E02000038,Barnet 015,26539949.66
E02000039,Barnet 016,19083118.98
E02000040,Barnet 017,8913720.782
E02000041,Barnet 018,20507628.62
E02000042,Barnet 019,40820957.08
E02000043,Barnet 020,6847035.624
E02000044,Barnet 021,9778803.22
E02000045,Barnet 022,17016366.99
E02000046,Barnet 023,40314401.69
E02000047,Barnet 024,25998982.51
E02000048,Barnet 025,14632737.14
E02000049,Barnet 026,2540659.882
E02000050,Barnet 027,31135816.58
E02000051,Barnet 028,56400688.62
E02000052,Barnet 029,40664529.88
E02000053,Barnet 030,44228733.05
E02000054,Barnet 031,23039681.92
E02000055,Barnet 032,42409241.72
E02000056,Barnet 033,36678032.58
E02000057,Barnet 034,37024423.04
E02000058,Barnet 035,35796613.65
