MSOA11CD,MSOA11NM,CC_Counts,Num_Counts,CC_Average
E02000001,City of London 001,0.044952161,8,0.00561902
E02000002,Barking and Dagenham 001,0.970598389,149,0.006514083
E02000003,Barking and Dagenham 002,1.250206006,189,0.006614847
E02000004,Barking and Dagenham 003,0.55862374,83,0.006730407
E02000005,Barking and Dagenham 004,0.92307717,136,0.006787332
E02000007,Barking and Dagenham 006,1.019457456,149,0.006841996
E02000008,Barking and Dagenham 007,1.235956249,171,0.007227814
E02000009,Barking and Dagenham 008,1.093314086,146,0.007488453
E02000010,Barking and Dagenham 009,0.686797721,93,0.007384922
E02000011,Barking and Dagenham 010,0.624489193,89,0.007016733
E02000012,Barking and Dagenham 011,0.967975913,123,0.007869723
E02000013,Barking and Dagenham 012,0.882055622,112,0.007875497
E02000014,Barking and Dagenham 013,0.787064527,102,0.007716319
E02000015,Barking and Dagenham 014,1.119203471,157,0.007128685
E02000016,Barking and Dagenham 015,1.132756549,138,0.008208381
E02000017,Barking and Dagenham 016,0.601980599,77,0.00781793
E02000018,Barking and Dagenham 017,1.242748261,153,0.008122538
E02000019,Barking and Dagenham 018,1.523096324,193,0.007891691
E02000020,Barking and Dagenham 019,2.06853874,257,0.008048789
E02000021,Barking and Dagenham 020,0.915028716,120,0.007625239
E02000022,Barking and Dagenham 021,0.93613938,111,0.008433688
E02000023,Barking and Dagenham 022,1.331142466,172,0.0077392
E02000024,Barnet 001,1.253732469,195,0.006429397
E02000025,Barnet 002,0.858907684,132,0.006506876
E02000026,Barnet 003,0.805556289,120,0.006712969
E02000027,Barnet 004,1.315627335,205,0.006417694
E02000028,Barnet 005,0.687686618,102,0.006742026
E02000029,Barnet 006,0.971211197,141,0.006888023
E02000030,Barnet 007,1.967641496,295,0.006669971
E02000031,Barnet 008,0.955610515,134,0.007131422
E02000032,Barnet 009,0.872632835,115,0.007588112
E02000033,Barnet 010,1.006611632,130,0.007743166
E02000034,Barnet 011,0.962068205,126,0.007635462
E02000035,Barnet 012,1.057573857,143,0.007395621
E02000036,Barnet 013,1.262684167,191,0.006610912
E02000037,Barnet 014,1.117731602,178,0.006279391
E02000038,Barnet 015,1.220555189,152,0.008029968
E02000039,Barnet 016,0.969326279,135,0.007180195
E02000040,Barnet 017,1.75712375,243,0.007230962
E02000041,Barnet 018,0.919306478,143,0.006428717
E02000042,Barnet 019,0.957833383,122,0.007851093
E02000043,Barnet 020,0.773891138,101,0.007662288
E02000044,Barnet 021,0.847179242,123,0.006887636
E02000045,Barnet 022,1.541729804,187,0.008244544
E02000046,Barnet 023,0.827723856,104,0.007958883
E02000047,Barnet 024,0.945622468,142,0.006659313
E02000048,Barnet 025,1.651169404,217,0.007609076
E02000049,Barnet 026,0.819441059,119,0.006886059
E02000050,Barnet 027,1.187841886,144,0.008248902
E02000051,Barnet 028,1.276033294,154,0.00828593
E02000052,Barnet 029,1.204096777,153,0.007869914
E02000053,Barnet 030,1.063241311,148,0.007184063
E02000054,Barnet 031,1.011061115,130,0.007777393
E02000055,Barnet 032,1.266053699,154,0.008221128
E02000056,Barnet 033,1.960275073,242,0.00810031
E02000057,Barnet 034,1.076442621,127,0.008475926
E02000058,Barnet 035,1.442097814,170,0.008482928
E02000059,Barnet 036,1.106226058,143,0.007735847
E02000060,Barnet 037,0.998873904,117,0.008537384
E02000061,Barnet 038,0.832542136,102,0.008162178
E02000062,Barnet 039,1.361956817,170,0.008011511
E02000063,Barnet 040,0.886030856,112,0.00791099
E02000064,Barnet 041,0.591063283,74,0.007987342
E02000065,Bexley 001,1.233820682,229,0.005387863
E02000066,Bexley 002,0.933111405,162,0.005759947
E02000067,Bexley 003,1.406217779,241,0.005834929
E02000068,Bexley 004,1.565983267,266,0.005887155
E02000069,Bexley 005,1.001889144,166,0.006035477
E02000070,Bexley 006,1.066833119,170,0.006275489
E02000071,Bexley 007,0.80404221,126,0.006381287
E02000072,Bexley 008,1.961219633,332,0.005907288
E02000073,Bexley 009,0.82183458,123,0.006681582
E02000074,Bexley 010,1.056123722,166,0.006362191
E02000075,Bexley 011,0.86842694,129,0.006731992
E02000077,Bexley 013,0.583643412,87,0.006708545
E02000078,Bexley 014,0.788464764,119,0.006625754
E02000079,Bexley 015,1.448797439,196,0.007391824
E02000080,Bexley 016,0.974776985,141,0.006913312
E02000081,Bexley 017,1.396790754,194,0.007199952
E02000082,Bexley 018,0.722813649,100,0.007228136
E02000083,Bexley 019,2.021446076,300,0.006738154
E02000084,Bexley 020,1.867311175,245,0.007621678
E02000085,Bexley 021,0.986214142,132,0.007471319
E02000086,Bexley 022,1.03352556,146,0.007078942
E02000087,Bexley 023,1.793128732,241,0.007440368
E02000088,Bexley 024,0.873740657,117,0.007467869
E02000089,Bexley 025,0.747510081,106,0.007051982
E02000090,Bexley 026,1.274996781,184,0.00692933
E02000091,Bexley 027,1.464350398,210,0.006973097
E02000092,Bexley 028,1.226436251,177,0.006929018
E02000093,Brent 001,0.797440153,119,0.006701178
E02000094,Brent 002,0.779668974,110,0.0070879
E02000095,Brent 003,1.108358604,165,0.006717325
E02000096,Brent 004,0.92088781,147,0.006264543
E02000097,Brent 005,1.68754143,232,0.007273885
E02000098,Brent 006,0.823480433,123,0.006694963
E02000099,Brent 007,0.72795952,110,0.006617814
E02000100,Brent 008,0.779508216,122,0.006389412
E02000101,Brent 009,1.198105053,163,0.007350338
E02000102,Brent 010,0.780196569,98,0.007961189
E02000103,Brent 011,0.945938406,117,0.008084944
E02000104,Brent 012,0.575990306,84,0.006857027
E02000105,Brent 013,0.852830279,128,0.006662737
E02000106,Brent 014,1.221738011,150,0.00814492
E02000107,Brent 015,0.604724426,77,0.007853564
E02000108,Brent 016,0.51519704,76,0.006778908
E02000109,Brent 017,1.145510991,156,0.007343019
