MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS,nums,CC_w_MSOA
E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,37.18,8,4.6475
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,546.48,149,3.667651007
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,707.24,189,3.742010582
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,289.81,83,3.491686747
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,512.86,136,3.771029412
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,545.54,149,3.661342282
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,658.63,171,3.851637427
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,586.08,146,4.014246575
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,346.84,93,3.729462366
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,319.37,89,3.588426966
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,9888,9879,9,76,3258,3,516.28,123,4.197398374
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,8402,8396,6,64.4,3125,2.7,448.04,112,4.000357143
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,9402,9319,83,78.8,3531,2.6,386.83,102,3.79245098
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,7563,7549,14,55.5,3170,2.4,571.76,157,3.641783439
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,7676,7670,6,86.6,2934,2.6,617.29,138,4.473115942
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,8498,8468,30,97,2729,3.1,333.11,77,4.326103896
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,8890,8884,6,65.5,3326,2.7,627.38,153,4.100522876
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,8276,8234,42,27.2,3010,2.7,753.39,193,3.90357513
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,9276,9274,2,27.1,3460,2.7,1065.25712,257,4.144969339
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,7904,7798,106,27.4,2949,2.6,446.33,120,3.719416667
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,8777,8684,93,117.2,3261,2.7,489.61,111,4.410900901
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,6482,6482,0,37.1,2431,2.7,698.62,172,4.061744186
E02000024,Barnet 001,E09000003,Barnet,E12000007,London,10156,9969,187,27.1,4110,2.4,769.03,195,3.94374359
E02000025,Barnet 002,E09000003,Barnet,E12000007,London,7956,7929,27,33.1,3622,2.2,535.65,132,4.057954545
E02000026,Barnet 003,E09000003,Barnet,E12000007,London,6313,6276,37,43.1,2496,2.5,494.78,120,4.123166667
E02000027,Barnet 004,E09000003,Barnet,E12000007,London,9598,9499,99,57.3,3705,2.6,812.12,205,3.961560976
E02000028,Barnet 005,E09000003,Barnet,E12000007,London,6166,6107,59,58.4,2473,2.5,432.52,102,4.240392157
E02000029,Barnet 006,E09000003,Barnet,E12000007,London,8517,8507,10,50.6,3513,2.4,596.5,141,4.230496454
E02000030,Barnet 007,E09000003,Barnet,E12000007,London,9130,9013,117,6.3,3410,2.6,1180.910306,295,4.003085783
E02000031,Barnet 008,E09000003,Barnet,E12000007,London,7294,7150,144,37.6,2817,2.5,592.66,134,4.422835821
E02000032,Barnet 009,E09000003,Barnet,E12000007,London,7857,7825,32,56.2,2742,2.9,505.29,115,4.393826087
E02000033,Barnet 010,E09000003,Barnet,E12000007,London,8537,8438,99,48.1,3317,2.5,585.16,130,4.501230769
E02000034,Barnet 011,E09000003,Barnet,E12000007,London,8508,8450,58,54.6,3403,2.5,579.6,126,4.6
E02000035,Barnet 012,E09000003,Barnet,E12000007,London,7965,7783,182,61.4,3381,2.3,653.06,143,4.566853147
E02000036,Barnet 013,E09000003,Barnet,E12000007,London,10743,10689,54,59.9,3942,2.7,793.43,191,4.15408377
E02000037,Barnet 014,E09000003,Barnet,E12000007,London,9741,9741,0,22.5,3397,2.9,717.841925,178,4.032819803
E02000038,Barnet 015,E09000003,Barnet,E12000007,London,10514,10285,229,59.7,4049,2.5,718.27,152,4.725460526
E02000039,Barnet 016,E09000003,Barnet,E12000007,London,6675,6675,0,31.3,2485,2.7,589.26,135,4.364888889
E02000040,Barnet 017,E09000003,Barnet,E12000007,London,7197,7094,103,14,2649,2.7,1084.19,243,4.461687243
E02000041,Barnet 018,E09000003,Barnet,E12000007,London,8811,8762,49,65.3,3120,2.8,610.66,143,4.27034965
E02000042,Barnet 019,E09000003,Barnet,E12000007,London,10639,10458,181,87.7,4421,2.4,582.74,122,4.776557377
E02000043,Barnet 020,E09000003,Barnet,E12000007,London,7696,7616,80,52.4,2693,2.8,471.86,101,4.671881188
E02000044,Barnet 021,E09000003,Barnet,E12000007,London,8071,8071,0,72.9,2862,2.8,540.24,123,4.392195122
E02000045,Barnet 022,E09000003,Barnet,E12000007,London,10237,10226,11,59,4168,2.5,902.51,187,4.826256684
E02000046,Barnet 023,E09000003,Barnet,E12000007,London,7063,7000,63,72.9,2860,2.4,505.31,104,4.85875
E02000047,Barnet 024,E09000003,Barnet,E12000007,London,11373,11207,166,80,4036,2.8,632.31,142,4.452887324
E02000048,Barnet 025,E09000003,Barnet,E12000007,London,9817,9817,0,31.8,3784,2.6,1005.52,217,4.633732719
E02000049,Barnet 026,E09000003,Barnet,E12000007,London,8503,8503,0,107.9,3028,2.8,532.21,119,4.472352941
E02000050,Barnet 027,E09000003,Barnet,E12000007,London,10064,10052,12,47.5,3853,2.6,714.12,144,4.959166667
E02000051,Barnet 028,E09000003,Barnet,E12000007,London,8647,8569,78,59.7,3537,2.4,764.26,154,4.962727273
E02000052,Barnet 029,E09000003,Barnet,E12000007,London,9698,9698,0,100.1,4163,2.3,781.46,153,5.107581699
E02000053,Barnet 030,E09000003,Barnet,E12000007,London,8697,8250,447,56.1,3244,2.5,690.31,148,4.664256757
E02000054,Barnet 031,E09000003,Barnet,E12000007,London,7206,7175,31,48,2774,2.6,621.27,130,4.779
E02000055,Barnet 032,E09000003,Barnet,E12000007,London,11130,10893,237,77.3,4179,2.6,754.41,154,4.898766234
E02000056,Barnet 033,E09000003,Barnet,E12000007,London,9212,9042,170,28.5,3390,2.7,1259.83,242,5.205909091
E02000057,Barnet 034,E09000003,Barnet,E12000007,London,7484,7437,47,68.4,2460,3,635.77,127,5.006062992
E02000058,Barnet 035,E09000003,Barnet,E12000007,London,10220,10177,43,56.4,3961,2.6,873.49,170,5.138176471
E02000059,Barnet 036,E09000003,Barnet,E12000007,London,10459,10442,17,47.7,3990,2.6,692.39,143,4.841888112
E02000060,Barnet 037,E09000003,Barnet,E12000007,London,10920,10693,227,88.6,3400,3.1,598.55,117,5.115811966
E02000061,Barnet 038,E09000003,Barnet,E12000007,London,8013,7875,138,50.5,3172,2.5,541.8,102,5.311764706
E02000062,Barnet 039,E09000003,Barnet,E12000007,London,6340,6302,38,34.5,2357,2.7,855.3151,170,5.031265294
E02000063,Barnet 040,E09000003,Barnet,E12000007,London,6971,6886,85,67.2,2503,2.8,587.21,112,5.242946429
E02000064,Barnet 041,E09000003,Barnet,E12000007,London,6248,6016,232,78.7,2450,2.5,398.13,74,5.380135135
E02000065,Bexley 001,E09000004,Bexley,E12000007,London,7666,7652,14,23.9,2728,2.8,852.49,229,3.722663755
E02000066,Bexley 002,E09000004,Bexley,E12000007,London,9641,9599,42,61.3,3795,2.5,610.9,162,3.770987654
E02000067,Bexley 003,E09000004,Bexley,E12000007,London,8750,8737,13,37.8,3580,2.4,883.84,241,3.667385892
E02000068,Bexley 004,E09000004,Bexley,E12000007,London,7388,7388,0,32.5,3041,2.4,920.67,266,3.461165414
E02000069,Bexley 005,E09000004,Bexley,E12000007,London,6194,6144,50,42.7,2495,2.5,597.61,166,3.600060241
E02000070,Bexley 006,E09000004,Bexley,E12000007,London,7875,7875,0,42.4,3177,2.5,651.62,170,3.833058824
E02000071,Bexley 007,E09000004,Bexley,E12000007,London,7300,7300,0,61.9,2782,2.6,455.06,126,3.611587302
E02000072,Bexley 008,E09000004,Bexley,E12000007,London,11734,11726,8,26.8,4722,2.5,1092.63,332,3.291054217
E02000073,Bexley 009,E09000004,Bexley,E12000007,London,10724,10724,0,67,3968,2.7,486.4,123,3.954471545
E02000074,Bexley 010,E09000004,Bexley,E12000007,London,7655,7573,82,67.8,3185,2.4,571,166,3.439759036
E02000075,Bexley 011,E09000004,Bexley,E12000007,London,7948,7920,28,51.8,3172,2.5,489.28,129,3.792868217
E02000077,Bexley 013,E09000004,Bexley,E12000007,London,7823,7760,63,70,2870,2.7,358.2,87,4.117241379
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,7665,7665,0,51.5,3036,2.5,425.58,119,3.576302521
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,7865,7713,152,47.7,3267,2.4,759.71,196,3.876071429
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,9430,9430,0,55.7,3702,2.5,596.86,141,4.233049645
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,7513,7486,27,34.1,3106,2.4,716.59,194,3.693762887
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,8876,8876,0,59.3,3356,2.6,432.09,100,4.3209
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,9771,9750,21,26.1,3985,2.4,1031.47,300,3.438233333
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,10641,10635,6,41,4209,2.5,965.27,245,3.939877551
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,7893,7893,0,48.6,3084,2.6,534.83,132,4.051742424
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,7328,7323,5,49.2,2789,2.6,603.59,146,4.134178082
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,7579,7559,20,20.4,3142,2.4,879.04,241,3.64746888
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,7737,7737,0,38.7,2984,2.6,449.9,117,3.845299145
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,7783,7635,148,56.9,2899,2.6,446.97,106,4.216698113
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,8726,8469,257,48.2,3962,2.1,746.03,184,4.05451087
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,9682,9542,140,35.4,4279,2.2,824.89,210,3.928047619
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,6426,6407,19,10.7,2722,2.4,655.81,177,3.705141243
E02000093,Brent 001,E09000005,Brent,E12000007,London,10883,10776,107,79,3408,3.2,532.73,119,4.476722689
E02000094,Brent 002,E09000005,Brent,E12000007,London,8746,8640,106,75.2,2738,3.2,513.03,110,4.663909091
E02000095,Brent 003,E09000005,Brent,E12000007,London,9921,9783,138,64.1,3117,3.1,744.92,165,4.514666667
E02000096,Brent 004,E09000005,Brent,E12000007,London,7598,7535,63,46.5,2518,3,640.76,147,4.358911565
E02000097,Brent 005,E09000005,Brent,E12000007,London,8958,8958,0,47.9,2926,3.1,1094.46,232,4.7175
E02000098,Brent 006,E09000005,Brent,E12000007,London,7944,7917,27,43.2,2652,3,555.61,123,4.517154472
E02000099,Brent 007,E09000005,Brent,E12000007,London,8707,8651,56,67.6,2782,3.1,492.63,110,4.478454545
E02000100,Brent 008,E09000005,Brent,E12000007,London,8388,7718,670,40.4,2696,2.9,522.1,122,4.279508197
E02000101,Brent 009,E09000005,Brent,E12000007,London,9332,9162,170,66.5,3312,2.8,779.16,163,4.780122699
E02000102,Brent 010,E09000005,Brent,E12000007,London,7787,7783,4,57.3,2496,3.1,482.1,98,4.919387755
E02000103,Brent 011,E09000005,Brent,E12000007,London,8723,8705,18,49.2,2994,2.9,593.53,117,5.072905983
E02000104,Brent 012,E09000005,Brent,E12000007,London,6767,6665,102,61.1,2213,3,389.05,84,4.631547619
E02000105,Brent 013,E09000005,Brent,E12000007,London,9202,9160,42,67.2,2997,3.1,570.2,128,4.4546875
E02000106,Brent 014,E09000005,Brent,E12000007,London,10217,10208,9,76.2,3449,3,754.45,150,5.029666667
E02000107,Brent 015,E09000005,Brent,E12000007,London,10692,10625,67,112,4107,2.6,409.88,77,5.323116883
E02000108,Brent 016,E09000005,Brent,E12000007,London,6584,6565,19,81,2147,3.1,332.41,76,4.373815789
E02000109,Brent 017,E09000005,Brent,E12000007,London,9864,9693,171,50.8,3264,3,739.47,156,4.740192308
E02000110,Brent 018,E09000005,Brent,E12000007,London,8087,8083,4,101.2,2969,2.7,280.09,53,5.284716981
E02000111,Brent 019,E09000005,Brent,E12000007,London,9782,9696,86,86.7,2914,3.3,497.64,109,4.565504587
