MSOA Code,MSOA Name,house_mean_price,crime_rate,PM_index
E02000001,City of London 001,533880,,187
E02000002,Barking and Dagenham 001,191292,77,74
E02000003,Barking and Dagenham 002,197186,77,82
E02000004,Barking and Dagenham 003,204192,44,70
E02000005,Barking and Dagenham 004,164694,68,82
E02000006,Barking and Dagenham 005,178873,80,83
E02000007,Barking and Dagenham 006,162070,102,78
E02000008,Barking and Dagenham 007,164201,66,84
E02000009,Barking and Dagenham 008,173778,75,85
E02000010,Barking and Dagenham 009,162143,59,79
E02000011,Barking and Dagenham 010,175126,76,74
E02000012,Barking and Dagenham 011,263904,63,89
E02000013,Barking and Dagenham 012,178230,64,82
E02000014,Barking and Dagenham 013,166373,92,84
E02000015,Barking and Dagenham 014,139275,103,75
E02000016,Barking and Dagenham 015,142092,203,109
E02000017,Barking and Dagenham 016,202605,80,90
E02000018,Barking and Dagenham 017,159327,75,90
E02000019,Barking and Dagenham 018,165225,106,96
E02000020,Barking and Dagenham 019,190549,91,83
E02000021,Barking and Dagenham 020,155156,82,85
E02000022,Barking and Dagenham 021,135121,101,107
E02000023,Barking and Dagenham 022,144105,73,92
E02000024,Barnet 001,445974,68,72
E02000025,Barnet 002,342566,54,71
E02000026,Barnet 003,360055,38,73
E02000027,Barnet 004,312581,59,72
E02000028,Barnet 005,414004,58,81
E02000029,Barnet 006,321315,66,80
E02000030,Barnet 007,888333,43,74
E02000031,Barnet 008,480952,70,83
E02000032,Barnet 009,433381,37,81
E02000033,Barnet 010,309260,64,86
E02000034,Barnet 011,360595,53,84
E02000035,Barnet 012,388709,38,81
E02000036,Barnet 013,352538,48,102
E02000037,Barnet 014,388175,45,83
E02000038,Barnet 015,377501,64,94
E02000039,Barnet 016,540210,75,100
E02000040,Barnet 017,443234,55,76
E02000041,Barnet 018,349970,96,86
E02000042,Barnet 019,326802,78,93
E02000043,Barnet 020,530722,31,81
E02000044,Barnet 021,320511,46,93
E02000045,Barnet 022,298037,83,102
E02000046,Barnet 023,420041,63,94
E02000047,Barnet 024,223861,69,87
E02000048,Barnet 025,416263,59,91
E02000049,Barnet 026,246128,50,90
E02000050,Barnet 027,362022,71,102
E02000051,Barnet 028,550503,65,104
E02000052,Barnet 029,439980,57,95
E02000053,Barnet 030,272365,59,91
E02000054,Barnet 031,351717,47,112
E02000055,Barnet 032,481519,83,99
E02000056,Barnet 033,1241697,51,96
E02000057,Barnet 034,476350,56,114
E02000058,Barnet 035,763868,64,100
E02000059,Barnet 036,254626,60,100
E02000060,Barnet 037,619976,45,114
E02000061,Barnet 038,1078587,100,103
E02000062,Barnet 039,292896,231,125
E02000063,Barnet 040,351051,48,105
E02000064,Barnet 041,822495,67,110
E02000065,Bexley 001,145689,62,74
E02000066,Bexley 002,156419,82,79
E02000067,Bexley 003,145994,59,76
E02000068,Bexley 004,156855,87,78
E02000069,Bexley 005,191085,35,75
E02000070,Bexley 006,222005,29,79
E02000071,Bexley 007,202083,44,75
E02000072,Bexley 008,145992,77,70
E02000073,Bexley 009,251582,25,82
E02000074,Bexley 010,159160,52,82
E02000075,Bexley 011,259325,21,76
E02000076,Bexley 012,218449,50,80
E02000077,Bexley 013,220409,28,79
E02000078,Bexley 014,216909,29,73
E02000079,Bexley 015,230850,135,85
E02000080,Bexley 016,227068,53,85
E02000081,Bexley 017,215190,46,81
E02000082,Bexley 018,246040,29,92
E02000083,Bexley 019,191657,61,77
E02000084,Bexley 020,267509,28,92
