ID,E02000001
E02000001,0
E02000002,18021.79222
E02000003,17492.30288
E02000004,19200.53786
E02000005,17137.54002
E02000007,17963.6887
E02000008,16330.98908
E02000009,15162.16835
E02000010,17063.8256
E02000011,18441.93749
E02000012,13643.88082
E02000013,15223.3685
E02000014,16630.98589
E02000015,17841.29123
E02000016,11941.93142
E02000017,12761.23021
E02000018,14393.25636
E02000019,15810.78156
E02000020,13701.18409
E02000021,17097.38348
E02000022,12111.80717
E02000023,14289.93091
E02000024,17680.91499
E02000025,16766.71432
E02000026,15448.17016
E02000027,16443.28513
E02000028,15578.01143
E02000029,15014.68052
E02000030,16657.58289
E02000031,14292.70808
E02000032,13391.34032
E02000033,13013.51262
E02000034,13036.60516
E02000035,13513.33694
E02000036,16901.97887
E02000037,18374.58216
E02000038,12020.46933
E02000039,15268.78262
E02000040,14347.24908
E02000041,16643.66274
E02000042,12321.18579
E02000043,13089.44317
E02000044,15440.97218
E02000045,11048.67979
E02000046,11755.08927
E02000047,15323.68681
E02000048,13115.66494
E02000049,14442.48592
E02000050,10980.53423
E02000051,11543.98532
E02000052,10052.63137
E02000053,13821.3986
E02000054,12984.26695
E02000055,12223.8511
E02000056,9485.805151
E02000057,11551.97726
E02000058,10413.9547
E02000059,12686.87654
E02000060,10735.70095
E02000061,9419.303925
E02000062,10866.23511
E02000063,10039.54972
E02000064,9169.06121
E02000065,15901.63041
E02000066,15642.56791
E02000067,17087.54423
E02000068,18419.79806
E02000069,17864.83737
E02000070,16128.12472
E02000071,17813.9259
E02000072,20698.86181
E02000073,15951.09957
E02000074,19393.65681
E02000075,17158.47827
E02000077,15272.00293
E02000078,18841.89971
E02000079,17286.94519
E02000080,15019.84662
E02000081,18665.59244
E02000082,14085.38093
E02000083,20242.17938
E02000084,16755.65013
E02000085,15888.64771
E02000086,15345.25295
E02000087,18841.52538
E02000088,17171.76166
E02000089,15119.48982
E02000090,16164.70768
E02000091,17271.36705
E02000092,18904.72834
E02000093,15382.43939
E02000094,14208.20105
E02000095,15163.99193
E02000096,16392.61239
E02000097,13772.52575
E02000098,14891.60882
E02000099,15733.88852
E02000100,16871.05304
E02000101,13594.38382
E02000102,12438.23032
E02000103,11264.60266
E02000104,14846.94643
E02000105,16111.8888
E02000106,11982.40377
E02000107,9984.985141
E02000108,16839.43717
E02000109,13628.65675
E02000110,10588.45058
E02000111,15311.81975
E02000112,13960.00144
E02000113,12422.6161
E02000114,10121.85745
E02000115,9082.394064
E02000116,10623.55657
E02000117,11444.27046
E02000118,14031.09133
E02000119,12581.72928
E02000120,8017.660513
E02000121,14719.85738
E02000122,9360.777058
E02000123,10924.89696
E02000124,8561.757636
E02000125,9743.457076
E02000126,7542.08172
E02000127,12926.70341
E02000128,15334.8803
E02000130,11132.79846
E02000131,10738.38837
E02000132,11914.84982
E02000133,15667.54298
E02000134,13763.1756
E02000135,11662.79826
E02000136,17368.93529
E02000137,13463.35483
E02000138,13127.15801
E02000139,12268.66672
E02000140,18569.41981
E02000141,12427.88014
E02000142,15023.0175
E02000144,14842.79702
E02000145,20830.88935
E02000146,16001.0407
E02000147,14780.16305
E02000148,17290.43213
E02000149,19356.62162
E02000150,14630.53139
E02000151,18609.90507
E02000152,17523.04946
E02000153,16269.223
E02000154,19901.15317
E02000155,20863.12894
E02000156,16329.22816
E02000157,19571.17163
E02000158,21657.66644
E02000159,19146.97826
E02000160,18085.80434
E02000161,21187.02626
E02000162,22084.03293
E02000163,23371.91755
E02000165,23613.51808
E02000166,7118.437837
E02000167,7754.376643
E02000168,5700.23966
E02000169,8037.17108
E02000170,8749.370252
E02000171,6248.748751
E02000172,5500.574614
E02000173,6880.938578
E02000174,4838.084302
E02000175,7811.88128
E02000176,6427.505377
E02000177,5477.411173
E02000178,8272.928909
E02000179,6025.404189
E02000180,4264.476907
E02000181,7346.177741
E02000182,6215.031573
E02000183,5073.979121
E02000184,4097.133403
E02000185,7169.150455
E02000186,4166.479074
E02000187,3311.693271
E02000188,3608.964432
E02000189,2329.901959
E02000190,2551.269737
E02000191,3031.644058
E02000192,1630.885831
E02000193,2145.460019
E02000194,11040.14556
E02000195,11023.81068
E02000196,11779.52619
E02000197,12278.54339
E02000198,12109.16625
E02000199,12425.75756
E02000200,12456.9324
E02000201,12893.77564
E02000202,12933.3095
E02000203,13129.18701
E02000204,13505.00543
E02000206,13794.28461
E02000207,14168.70157
E02000208,14091.53754
E02000209,14386.97378
E02000210,14491.92524
E02000211,14977.60247
E02000212,15073.0731
E02000213,14841.96638
E02000214,15156.96989
E02000215,15150.31641
E02000216,16198.8782
E02000217,15888.13197
E02000218,16537.48968
E02000219,16932.60303
E02000220,16262.53622
E02000221,17403.44252
E02000222,17443.13241
E02000223,18563.11385
E02000224,18444.25841
E02000225,19365.04249
E02000226,18357.93669
E02000227,19173.92556
E02000228,19405.40446
E02000229,20602.58504
E02000230,19563.02123
E02000231,20293.73451
E02000232,20674.72725
E02000233,21268.07793
E02000234,21705.52917
E02000235,21914.34634
E02000236,23076.66379
E02000237,23807.18467
E02000238,18258.19731
E02000239,16705.44036
E02000240,19973.6886
E02000241,19213.20031
E02000242,15550.86708
E02000243,17768.78935
E02000244,16190.04816
E02000245,20476.9141
E02000246,21527.4453
E02000247,19296.05518
E02000248,13955.00125
E02000249,18198.12403
E02000250,15067.96772
E02000251,18852.71203
E02000252,11960.11321
E02000253,16983.46839
E02000254,19543.2846
E02000255,16151.9576
E02000256,15425.46497
E02000257,14107.95718
E02000258,12602.39087
E02000259,17398.05133
E02000260,19417.82157
E02000261,11234.86295
E02000262,12310.85402
E02000263,20456.05635
E02000264,13448.77254
E02000265,16217.07321
E02000266,18390.95222
E02000267,17107.54099
E02000268,14565.64731
E02000269,15443.37267
E02000270,12666.09838
E02000271,11608.70742
E02000272,16550.73985
E02000274,20819.91907
E02000275,19549.88456
E02000276,15301.22881
E02000277,18570.30854
E02000278,18075.19416
E02000279,18211.5353
E02000280,18182.33979
E02000281,16992.87029
E02000282,16946.72246
E02000283,16682.04337
E02000284,16049.16218
E02000285,16062.19671
E02000286,16171.45427
E02000287,17081.17243
E02000288,15437.46471
E02000289,15560.71018
E02000290,15795.00062
E02000291,14651.68904
E02000292,14703.7956
E02000293,14376.22523
E02000294,14145.21707
E02000295,13986.36106
E02000296,14405.43095
E02000297,13459.76213
E02000298,13219.44837
E02000299,13318.0462
E02000300,13101.99482
E02000301,13068.75377
E02000302,12281.65704
E02000303,12101.93464
E02000304,12250.50379
E02000305,12014.95341
E02000306,11925.86129
E02000307,11734.74284
E02000308,11565.81535
E02000309,11103.02662
E02000311,10911.44159
E02000312,11107.05932
E02000313,14414.60735
E02000314,13305.03247
E02000315,14429.07361
E02000316,10385.47804
E02000317,10359.50444
E02000318,13363.8722
E02000319,12561.43718
E02000320,14739.11208
E02000321,12201.72322
E02000323,11795.52542
E02000324,9873.818865
E02000326,9064.735077
E02000327,11087.45767
E02000328,8294.66261
E02000329,13097.78485
E02000331,10156.14916
E02000332,12137.08731
E02000333,9119.114798
E02000334,10472.48857
E02000335,12320.92951
E02000337,11236.40889
E02000339,12363.82522
E02000340,13210.91134
E02000341,11635.17474
E02000342,14227.73952
E02000343,13472.95503
E02000344,14289.14332
E02000345,6762.420541
E02000346,6244.762325
E02000347,6211.414452
E02000348,6389.620455
E02000350,5724.309765
E02000351,5531.552654
E02000352,5343.16136
E02000353,5289.214065
E02000354,5129.580223
E02000355,5490.051828
E02000356,4584.54348
E02000357,6222.656652
E02000358,4535.508972
E02000359,5474.474885
E02000360,4452.529097
E02000361,4467.746856
E02000362,5740.132738
E02000363,4748.936695
E02000364,3737.281635
E02000365,3362.714388
E02000366,4402.587142
E02000367,3646.599932
E02000368,2886.314874
E02000369,2516.152491
E02000370,1960.301701
E02000371,1588.995281
E02000372,10135.90643
E02000373,9917.721107
E02000374,10402.82637
E02000375,9214.406017
E02000376,9673.205453
E02000377,10339.63621
E02000378,9039.119085
E02000379,10801.69818
E02000380,9779.106763
E02000381,8992.68271
E02000382,10467.92474
E02000383,8587.053171
E02000384,9669.438088
E02000385,8835.190418
E02000386,8328.651244
E02000387,9196.290335
E02000388,8178.913732
E02000389,9721.932428
E02000390,8998.625085
E02000391,8163.679457
E02000392,8811.235064
E02000393,9389.346828
E02000394,7983.971216
E02000395,9521.241853
E02000396,8732.287116
E02000397,10240.33382
E02000398,10285.77852
E02000400,10384.32673
E02000401,9937.29155
E02000402,9871.587062
E02000403,9884.591949
E02000404,9640.50925
E02000405,9552.993627
E02000406,9076.642749
E02000407,9025.31975
E02000408,9118.600476
E02000409,8832.859711
E02000410,9630.332706
E02000411,9038.588292
E02000412,8822.878351
E02000413,9824.144019
E02000414,8523.268181
E02000415,8411.900932
E02000416,8337.787226
E02000417,8677.736254
E02000418,8365.438912
E02000419,7939.161217
E02000420,7925.698498
E02000421,7984.215727
E02000422,7562.0106
E02000423,7434.241601
E02000424,7531.420266
E02000425,7332.899614
E02000426,8392.108723
E02000427,6665.394119
E02000428,6947.717397
E02000429,7582.593382
E02000430,7151.368228
E02000431,7372.910655
E02000432,6509.565372
E02000433,19980.19232
E02000434,17690.81228
E02000435,19233.54489
E02000436,21717.23208
E02000437,19957.69028
E02000438,21525.14178
E02000439,16409.57362
E02000440,18230.48311
E02000441,23223.7719
E02000442,16460.96399
E02000443,19549.02659
E02000444,17248.18443
E02000445,18768.74297
E02000447,20599.49312
E02000448,21970.1435
E02000449,16253.48713
E02000451,20886.70863
E02000452,18918.00313
E02000453,19595.71042
E02000454,21674.05321
E02000455,18122.91081
E02000456,19521.60087
E02000457,20387.05781
E02000459,18992.3983
E02000460,20027.30838
E02000461,17933.45561
E02000462,19244.70165
E02000463,20191.16519
E02000464,24713.27815
E02000465,25356.95531
E02000466,22069.50592
E02000467,23740.43738
E02000468,20272.44054
E02000469,22660.80673
E02000470,25150.44876
E02000471,21141.94091
E02000472,20092.47228
E02000473,23653.20365
E02000474,19203.05837
E02000475,21989.08387
E02000476,20345.54618
E02000477,21673.97016
E02000478,23348.90816
E02000479,20614.82593
E02000480,18829.31937
E02000481,27164.41714
E02000482,24818.70809
E02000483,22205.07788
E02000484,20689.02211
E02000485,23394.45468
E02000486,21320.00665
E02000487,24279.29339
E02000488,21580.36499
E02000489,20193.2885
E02000490,20042.19929
E02000491,18661.66994
E02000492,21009.51258
E02000493,20255.72393
E02000494,26031.49568
E02000495,24748.2334
E02000496,28214.67332
E02000497,23535.84085
E02000498,25357.94691
E02000499,22207.012
E02000500,23988.11802
E02000501,22238.36255
E02000502,23804.82015
E02000503,22485.00335
E02000504,25485.44904
E02000506,26435.50845
E02000507,24042.48313
E02000508,26419.03375
E02000509,27406.46867
E02000510,25446.01548
E02000511,23240.40742
E02000512,24413.54873
E02000513,21442.9378
E02000514,22218.83037
E02000515,26910.14401
E02000516,20513.17901
E02000517,23959.83418
E02000518,25431.64348
E02000519,21819.45056
E02000520,22995.29184
E02000521,24932.00432
E02000522,26466.07634
E02000523,23116.20587
E02000524,26276.12909
E02000525,23391.78268
E02000526,11291.51168
E02000528,14339.94993
E02000529,19916.71153
E02000530,21512.81232
E02000531,15784.14755
E02000532,12249.1889
E02000533,13155.39973
E02000534,17587.22301
E02000535,21047.393
E02000536,19941.90732
E02000537,18724.03938
E02000538,22270.21735
E02000539,17167.80761
E02000540,18494.64771
E02000541,21354.14441
E02000542,20405.85276
E02000543,19711.78589
E02000544,18762.91081
E02000545,17553.65417
E02000546,21294.51422
