MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS
E02000001,City of London 001,E09000001,City of London,E12000007,London,"7375","7187","188",25.5000,"4385",1.6000,8
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,"6775","6724","51",31.3000,"2713",2.5000,2
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,"10045","10033","12",46.9000,"3834",2.6000,3
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,"6182","5937","245",24.8000,"2318",2.6000,1
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,"8562","8562","0",72.1000,"3183",2.7000,3
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,"8791","8672","119",50.6000,"3441",2.5000,2
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,"11569","11564","5",81.5000,"4591",2.5000,6
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,"8395","8376","19",87.4000,"3212",2.6000,2
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"8615","8615","0",76.8000,"3292",2.6000,2
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,"6187","6086","101",38.8000,"2289",2.7000,3
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,"9888","9879","9",76.0000,"3258",3.0000,3
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,"8402","8396","6",64.4000,"3125",2.7000,2
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"9402","9319","83",78.8000,"3531",2.6000,5
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,"7563","7549","14",55.5000,"3170",2.4000,1
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,"7676","7670","6",86.6000,"2934",2.6000,6
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"8498","8468","30",97.0000,"2729",3.1000,3
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,"8890","8884","6",65.5000,"3326",2.7000,1
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,"8276","8234","42",27.2000,"3010",2.7000,5
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,"9276","9274","2",27.1000,"3460",2.7000,3
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,"7904","7798","106",27.4000,"2949",2.6000,4
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,"8777","8684","93",117.2000,"3261",2.7000,1
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,"6482","6482","0",37.1000,"2431",2.7000,4
E02000024,Barnet 001,E09000003,Barnet,E12000007,London,"10156","9969","187",27.1000,"4110",2.4000,8
E02000025,Barnet 002,E09000003,Barnet,E12000007,London,"7956","7929","27",33.1000,"3622",2.2000,3
E02000026,Barnet 003,E09000003,Barnet,E12000007,London,"6313","6276","37",43.1000,"2496",2.5000,2
E02000027,Barnet 004,E09000003,Barnet,E12000007,London,"9598","9499","99",57.3000,"3705",2.6000,4
E02000028,Barnet 005,E09000003,Barnet,E12000007,London,"6166","6107","59",58.4000,"2473",2.5000,1
E02000029,Barnet 006,E09000003,Barnet,E12000007,London,"8517","8507","10",50.6000,"3513",2.4000,2
E02000030,Barnet 007,E09000003,Barnet,E12000007,London,"9130","9013","117",6.3000,"3410",2.6000,6
E02000031,Barnet 008,E09000003,Barnet,E12000007,London,"7294","7150","144",37.6000,"2817",2.5000,6
E02000032,Barnet 009,E09000003,Barnet,E12000007,London,"7857","7825","32",56.2000,"2742",2.9000,3
E02000033,Barnet 010,E09000003,Barnet,E12000007,London,"8537","8438","99",48.1000,"3317",2.5000,4
E02000034,Barnet 011,E09000003,Barnet,E12000007,London,"8508","8450","58",54.6000,"3403",2.5000,1
E02000035,Barnet 012,E09000003,Barnet,E12000007,London,"7965","7783","182",61.4000,"3381",2.3000,4
E02000036,Barnet 013,E09000003,Barnet,E12000007,London,"10743","10689","54",59.9000,"3942",2.7000,2
E02000037,Barnet 014,E09000003,Barnet,E12000007,London,"9741","9741","0",22.5000,"3397",2.9000,5
E02000038,Barnet 015,E09000003,Barnet,E12000007,London,"10514","10285","229",59.7000,"4049",2.5000,7
E02000039,Barnet 016,E09000003,Barnet,E12000007,London,"6675","6675","0",31.3000,"2485",2.7000,3
E02000040,Barnet 017,E09000003,Barnet,E12000007,London,"7197","7094","103",14.0000,"2649",2.7000,12
E02000041,Barnet 018,E09000003,Barnet,E12000007,London,"8811","8762","49",65.3000,"3120",2.8000,4
E02000042,Barnet 019,E09000003,Barnet,E12000007,London,"10639","10458","181",87.7000,"4421",2.4000,6
E02000043,Barnet 020,E09000003,Barnet,E12000007,London,"7696","7616","80",52.4000,"2693",2.8000,0
E02000044,Barnet 021,E09000003,Barnet,E12000007,London,"8071","8071","0",72.9000,"2862",2.8000,5
E02000045,Barnet 022,E09000003,Barnet,E12000007,London,"10237","10226","11",59.0000,"4168",2.5000,4
E02000046,Barnet 023,E09000003,Barnet,E12000007,London,"7063","7000","63",72.9000,"2860",2.4000,0
E02000047,Barnet 024,E09000003,Barnet,E12000007,London,"11373","11207","166",80.0000,"4036",2.8000,5
E02000048,Barnet 025,E09000003,Barnet,E12000007,London,"9817","9817","0",31.8000,"3784",2.6000,3
E02000049,Barnet 026,E09000003,Barnet,E12000007,London,"8503","8503","0",107.9000,"3028",2.8000,2
E02000050,Barnet 027,E09000003,Barnet,E12000007,London,"10064","10052","12",47.5000,"3853",2.6000,4
E02000051,Barnet 028,E09000003,Barnet,E12000007,London,"8647","8569","78",59.7000,"3537",2.4000,8
E02000052,Barnet 029,E09000003,Barnet,E12000007,London,"9698","9698","0",100.1000,"4163",2.3000,4
E02000053,Barnet 030,E09000003,Barnet,E12000007,London,"8697","8250","447",56.1000,"3244",2.5000,1
E02000054,Barnet 031,E09000003,Barnet,E12000007,London,"7206","7175","31",48.0000,"2774",2.6000,3
E02000055,Barnet 032,E09000003,Barnet,E12000007,London,"11130","10893","237",77.3000,"4179",2.6000,9
E02000056,Barnet 033,E09000003,Barnet,E12000007,London,"9212","9042","170",28.5000,"3390",2.7000,7
E02000057,Barnet 034,E09000003,Barnet,E12000007,London,"7484","7437","47",68.4000,"2460",3.0000,5
E02000058,Barnet 035,E09000003,Barnet,E12000007,London,"10220","10177","43",56.4000,"3961",2.6000,7
E02000059,Barnet 036,E09000003,Barnet,E12000007,London,"10459","10442","17",47.7000,"3990",2.6000,7
E02000060,Barnet 037,E09000003,Barnet,E12000007,London,"10920","10693","227",88.6000,"3400",3.1000,5
E02000061,Barnet 038,E09000003,Barnet,E12000007,London,"8013","7875","138",50.5000,"3172",2.5000,2
E02000062,Barnet 039,E09000003,Barnet,E12000007,London,"6340","6302","38",34.5000,"2357",2.7000,4
E02000063,Barnet 040,E09000003,Barnet,E12000007,London,"6971","6886","85",67.2000,"2503",2.8000,2
E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"6248","6016","232",78.7000,"2450",2.5000,1
E02000065,Bexley 001,E09000004,Bexley,E12000007,London,"7666","7652","14",23.9000,"2728",2.8000,4
E02000066,Bexley 002,E09000004,Bexley,E12000007,London,"9641","9599","42",61.3000,"3795",2.5000,4
E02000067,Bexley 003,E09000004,Bexley,E12000007,London,"8750","8737","13",37.8000,"3580",2.4000,6
E02000068,Bexley 004,E09000004,Bexley,E12000007,London,"7388","7388","0",32.5000,"3041",2.4000,0
E02000069,Bexley 005,E09000004,Bexley,E12000007,London,"6194","6144","50",42.7000,"2495",2.5000,3
E02000070,Bexley 006,E09000004,Bexley,E12000007,London,"7875","7875","0",42.4000,"3177",2.5000,2
E02000071,Bexley 007,E09000004,Bexley,E12000007,London,"7300","7300","0",61.9000,"2782",2.6000,4
E02000072,Bexley 008,E09000004,Bexley,E12000007,London,"11734","11726","8",26.8000,"4722",2.5000,2
E02000073,Bexley 009,E09000004,Bexley,E12000007,London,"10724","10724","0",67.0000,"3968",2.7000,3
E02000074,Bexley 010,E09000004,Bexley,E12000007,London,"7655","7573","82",67.8000,"3185",2.4000,1
E02000075,Bexley 011,E09000004,Bexley,E12000007,London,"7948","7920","28",51.8000,"3172",2.5000,2
E02000077,Bexley 013,E09000004,Bexley,E12000007,London,"7823","7760","63",70.0000,"2870",2.7000,2
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,"7665","7665","0",51.5000,"3036",2.5000,2
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,"7865","7713","152",47.7000,"3267",2.4000,2
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,"9430","9430","0",55.7000,"3702",2.5000,4
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,"7513","7486","27",34.1000,"3106",2.4000,6
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,"8876","8876","0",59.3000,"3356",2.6000,3
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,"9771","9750","21",26.1000,"3985",2.4000,5
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,"10641","10635","6",41.0000,"4209",2.5000,7
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,"7893","7893","0",48.6000,"3084",2.6000,2
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,"7328","7323","5",49.2000,"2789",2.6000,4
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,"7579","7559","20",20.4000,"3142",2.4000,2
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,"7737","7737","0",38.7000,"2984",2.6000,2
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,"7783","7635","148",56.9000,"2899",2.6000,1
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,"8726","8469","257",48.2000,"3962",2.1000,6
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,"9682","9542","140",35.4000,"4279",2.2000,3
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,"6426","6407","19",10.7000,"2722",2.4000,4
E02000093,Brent 001,E09000005,Brent,E12000007,London,"10883","10776","107",79.0000,"3408",3.2000,4
E02000094,Brent 002,E09000005,Brent,E12000007,London,"8746","8640","106",75.2000,"2738",3.2000,2
