MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000138,Bromley 012,E05000113,Copers Cope,TRUE,328.692,161.124874,0.611437368,161.7363114,49.02001692,0.186021372,49.20603829
E02000145,Bromley 019,E05000114,Cray Valley East,TRUE,1327.866,1016.412155,16.99231924,1033.404475,76.54478354,1.279671235,77.82445478
E02000136,Bromley 010,E05000115,Cray Valley West,TRUE,393.85,167.2233223,0.290551674,167.513874,42.45863205,0.073772166,42.53240421
E02000140,Bromley 014,E05000115,Cray Valley West,TRUE,393.85,167.2233223,0.290551674,167.513874,42.45863205,0.073772166,42.53240421
E02000149,Bromley 023,E05000115,Cray Valley West,TRUE,393.85,167.2233223,0.290551674,167.513874,42.45863205,0.073772166,42.53240421
E02000131,Bromley 005,E05000116,Crystal Palace,TRUE,229.114,129.1086366,3.673699107,132.7823357,56.3512647,1.6034372,57.9547019
E02000118,Brent 026,E05000085,Alperton,TRUE,205.853,60.27220389,4.138451125,64.41065502,29.27924485,2.010391457,31.2896363
E02000062,Barnet 039,E05000053,Golders Green,TRUE,297.292,111.6753281,0.50867857,112.1840067,37.56418879,0.171104022,37.73529281
E02000101,Brent 009,E05000086,Barnhill,TRUE,297.908,162.0395551,1.431910249,163.4714653,54.39248194,0.480655185,54.87313713
E02000157,Bromley 031,E05000118,Farnborough and Crofton,TRUE,700.584,453.4299118,2.817310982,456.2472228,64.7217053,0.4021375,65.1238428
E02000162,Bromley 036,E05000118,Farnborough and Crofton,TRUE,700.584,453.4299118,2.817310982,456.2472228,64.7217053,0.4021375,65.1238428
E02000098,Brent 006,E05000086,Barnhill,TRUE,297.908,162.0395551,1.431910249,163.4714653,54.39248194,0.480655185,54.87313713
E02000153,Bromley 027,E05000119,Hayes and Coney Hall,TRUE,1082.306,794.5890493,2.585457278,797.1745066,73.41630272,0.238884131,73.65518685
E02000060,Barnet 037,E05000053,Golders Green,TRUE,297.292,111.6753281,0.50867857,112.1840067,37.56418879,0.171104022,37.73529281
E02000001,City of London 001,E05009288,Aldersgate,TRUE,9.795,2.166619851,0.033353122,2.199972974,22.11965137,0.340511713,22.46016308
E02000036,Barnet 013,E05000054,Hale,TRUE,542.315,356.9610751,4.321326099,361.2824012,65.82172264,0.796829536,66.61855218
E02000122,Brent 030,E05000087,Brondesbury Park,TRUE,172.942,82.98431811,0.083375424,83.06769354,47.98390103,0.048210049,48.03211108
E02000016,Barking and Dagenham 015,E05000026,Abbey,TRUE,128.292,35.71432913,3.185638382,38.89996751,27.83831348,2.483115379,30.32142886
E02000057,Barnet 034,E05000055,Hendon,TRUE,283.871,118.0856281,2.135358923,120.220987,41.59834153,0.752228626,42.35057015
E02000160,Bromley 034,E05000119,Hayes and Coney Hall,TRUE,1082.306,794.5890493,2.585457278,797.1745066,73.41630272,0.238884131,73.65518685
E02000115,Brent 023,E05000087,Brondesbury Park,TRUE,172.942,82.98431811,0.083375424,83.06769354,47.98390103,0.048210049,48.03211108
E02000017,Barking and Dagenham 016,E05000026,Abbey,TRUE,128.292,35.71432913,3.185638382,38.89996751,27.83831348,2.483115379,30.32142886
E02000055,Barnet 032,E05000055,Hendon,TRUE,283.871,118.0856281,2.135358923,120.220987,41.59834153,0.752228626,42.35057015
