MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,532482.704,181269.310
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,548312.915,189881.379
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,548454.925,188400.150
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,551008.972,186310.934
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,548667.089,186903.344
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,549648.734,186561.030
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,548139.580,185911.094
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,546964.945,185757.091
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,549064.212,185295.467
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,550508.530,185162.338
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,9888,9879,9,76,3258,3,545635.977,184893.291
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,8402,8396,6,64.4,3125,2.7,547277.303,184854.721
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,9402,9319,83,78.8,3531,2.6,548785.430,184554.689
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,7563,7549,14,55.5,3170,2.4,550075.964,184230.847
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,7676,7670,6,86.6,2934,2.6,544028.738,184316.864
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,8498,8468,30,97,2729,3.1,544838.197,184459.673
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,8890,8884,6,65.5,3326,2.7,546552.953,184299.075
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,8276,8234,42,27.2,3010,2.7,548167.560,183256.820
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,9276,9274,2,27.1,3460,2.7,546104.068,182741.587
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,7904,7798,106,27.4,2949,2.6,549508.429,182827.519
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,8777,8684,93,117.2,3261,2.7,544383.739,183516.515
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,6482,6482,0,37.1,2431,2.7,546653.193,183109.225
E02000024,Barnet 001,E09000003,Barnet,E12000007,London,10156,9969,187,27.1,4110,2.4,524414.922,197000.696
E02000025,Barnet 002,E09000003,Barnet,E12000007,London,7956,7929,27,33.1,3622,2.2,525971.150,196718.558
E02000026,Barnet 003,E09000003,Barnet,E12000007,London,6313,6276,37,43.1,2496,2.5,527682.625,195951.601
E02000027,Barnet 004,E09000003,Barnet,E12000007,London,9598,9499,99,57.3,3705,2.6,524409.516,195592.819
E02000028,Barnet 005,E09000003,Barnet,E12000007,London,6166,6107,59,58.4,2473,2.5,526170.787,195509.996
E02000029,Barnet 006,E09000003,Barnet,E12000007,London,8517,8507,10,50.6,3513,2.4,527246.062,195340.004
E02000030,Barnet 007,E09000003,Barnet,E12000007,London,9130,9013,117,6.3,3410,2.6,522735.986,194776.055
E02000031,Barnet 008,E09000003,Barnet,E12000007,London,7294,7150,144,37.6,2817,2.5,526484.430,194241.253
E02000032,Barnet 009,E09000003,Barnet,E12000007,London,7857,7825,32,56.2,2742,2.9,528839.224,194154.454
E02000033,Barnet 010,E09000003,Barnet,E12000007,London,8537,8438,99,48.1,3317,2.5,528235.721,193569.300
E02000034,Barnet 011,E09000003,Barnet,E12000007,London,8508,8450,58,54.6,3403,2.5,527071.743,193128.870
E02000035,Barnet 012,E09000003,Barnet,E12000007,London,7965,7783,182,61.4,3381,2.3,525825.978,193028.157
E02000036,Barnet 013,E09000003,Barnet,E12000007,London,10743,10689,54,59.9,3942,2.7,520325.712,193009.733
E02000037,Barnet 014,E09000003,Barnet,E12000007,London,9741,9741,0,22.5,3397,2.9,518863.643,193601.776
E02000038,Barnet 015,E09000003,Barnet,E12000007,London,10514,10285,229,59.7,4049,2.5,527828.319,192351.145
E02000039,Barnet 016,E09000003,Barnet,E12000007,London,6675,6675,0,31.3,2485,2.7,521813.187,192189.923
E02000040,Barnet 017,E09000003,Barnet,E12000007,London,7197,7094,103,14,2649,2.7,523480.991,192439.827
E02000041,Barnet 018,E09000003,Barnet,E12000007,London,8811,8762,49,65.3,3120,2.8,519703.368,191930.194
E02000042,Barnet 019,E09000003,Barnet,E12000007,London,10639,10458,181,87.7,4421,2.4,526260.063,191902.630
E02000043,Barnet 020,E09000003,Barnet,E12000007,London,7696,7616,80,52.4,2693,2.8,525158.677,192116.703
E02000044,Barnet 021,E09000003,Barnet,E12000007,London,8071,8071,0,72.9,2862,2.8,521003.185,191594.317
E02000045,Barnet 022,E09000003,Barnet,E12000007,London,10237,10226,11,59,4168,2.5,527904.283,191323.834
E02000046,Barnet 023,E09000003,Barnet,E12000007,London,7063,7000,63,72.9,2860,2.4,525550.380,190761.629
E02000047,Barnet 024,E09000003,Barnet,E12000007,London,11373,11207,166,80,4036,2.8,520442.475,190746.136
E02000048,Barnet 025,E09000003,Barnet,E12000007,London,9817,9817,0,31.8,3784,2.6,523468.782,190795.230
E02000049,Barnet 026,E09000003,Barnet,E12000007,London,8503,8503,0,107.9,3028,2.8,521558.015,190714.061
E02000050,Barnet 027,E09000003,Barnet,E12000007,London,10064,10052,12,47.5,3853,2.6,526728.060,190620.153
E02000051,Barnet 028,E09000003,Barnet,E12000007,London,8647,8569,78,59.7,3537,2.4,524820.401,189902.530
E02000052,Barnet 029,E09000003,Barnet,E12000007,London,9698,9698,0,100.1,4163,2.3,526944.050,189657.623
E02000053,Barnet 030,E09000003,Barnet,E12000007,London,8697,8250,447,56.1,3244,2.5,521558.120,189734.194
E02000054,Barnet 031,E09000003,Barnet,E12000007,London,7206,7175,31,48,2774,2.6,522609.444,189700.420
E02000055,Barnet 032,E09000003,Barnet,E12000007,London,11130,10893,237,77.3,4179,2.6,523148.274,189160.311
E02000056,Barnet 033,E09000003,Barnet,E12000007,London,9212,9042,170,28.5,3390,2.7,526353.018,188507.693
E02000057,Barnet 034,E09000003,Barnet,E12000007,London,7484,7437,47,68.4,2460,3,523576.462,188625.032
E02000058,Barnet 035,E09000003,Barnet,E12000007,London,10220,10177,43,56.4,3961,2.6,525158.869,188671.719
E02000059,Barnet 036,E09000003,Barnet,E12000007,London,10459,10442,17,47.7,3990,2.6,521790.988,188097.115
E02000060,Barnet 037,E09000003,Barnet,E12000007,London,10920,10693,227,88.6,3400,3.1,524289.394,188205.272
E02000061,Barnet 038,E09000003,Barnet,E12000007,London,8013,7875,138,50.5,3172,2.5,525174.413,187210.612
E02000062,Barnet 039,E09000003,Barnet,E12000007,London,6340,6302,38,34.5,2357,2.7,523330.599,187125.603
E02000063,Barnet 040,E09000003,Barnet,E12000007,London,6971,6886,85,67.2,2503,2.8,524084.631,186769.300
E02000064,Barnet 041,E09000003,Barnet,E12000007,London,6248,6016,232,78.7,2450,2.5,524712.352,186135.619
E02000065,Bexley 001,E09000004,Bexley,E12000007,London,7666,7652,14,23.9,2728,2.8,548359.631,180392.311
E02000066,Bexley 002,E09000004,Bexley,E12000007,London,9641,9599,42,61.3,3795,2.5,548003.798,179327.714
E02000067,Bexley 003,E09000004,Bexley,E12000007,London,8750,8737,13,37.8,3580,2.4,549467.212,179400.258
E02000068,Bexley 004,E09000004,Bexley,E12000007,London,7388,7388,0,32.5,3041,2.4,550744.956,178869.205
E02000069,Bexley 005,E09000004,Bexley,E12000007,London,6194,6144,50,42.7,2495,2.5,550077.842,178179.782
E02000070,Bexley 006,E09000004,Bexley,E12000007,London,7875,7875,0,42.4,3177,2.5,548275.728,178001.263
E02000071,Bexley 007,E09000004,Bexley,E12000007,London,7300,7300,0,61.9,2782,2.6,549836.879,177250.615
E02000072,Bexley 008,E09000004,Bexley,E12000007,London,11734,11726,8,26.8,4722,2.5,552735.396,176997.232
E02000073,Bexley 009,E09000004,Bexley,E12000007,London,10724,10724,0,67,3968,2.7,547830.248,176924.935
E02000074,Bexley 010,E09000004,Bexley,E12000007,London,7655,7573,82,67.8,3185,2.4,551324.858,176679.431
E02000075,Bexley 011,E09000004,Bexley,E12000007,London,7948,7920,28,51.8,3172,2.5,549001.020,176628.157
E02000077,Bexley 013,E09000004,Bexley,E12000007,London,7823,7760,63,70,2870,2.7,546965.089,176423.869
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,7665,7665,0,51.5,3036,2.5,550652.213,176282.714
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,7865,7713,152,47.7,3267,2.4,548768.929,175474.633
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,9430,9430,0,55.7,3702,2.5,546347.022,175493.497
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,7513,7486,27,34.1,3106,2.4,550145.705,175235.882
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,8876,8876,0,59.3,3356,2.6,545269.212,175362.717
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,9771,9750,21,26.1,3985,2.4,551689.926,174881.302
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,10641,10635,6,41,4209,2.5,547931.344,174782.987
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,7893,7893,0,48.6,3084,2.6,546748.216,174274.598
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,7328,7323,5,49.2,2789,2.6,545877.857,173784.079
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,7579,7559,20,20.4,3142,2.4,549668.899,173548.179
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,7737,7737,0,38.7,2984,2.6,547642.879,173205.943
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,7783,7635,148,56.9,2899,2.6,545083.532,172914.687
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,8726,8469,257,48.2,3962,2.1,545880.499,172226.272
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,9682,9542,140,35.4,4279,2.2,546867.261,171710.937
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,6426,6407,19,10.7,2722,2.4,548646.733,171466.817
E02000093,Brent 001,E09000005,Brent,E12000007,London,10883,10776,107,79,3408,3.2,519612.086,189691.191
E02000094,Brent 002,E09000005,Brent,E12000007,London,8746,8640,106,75.2,2738,3.2,520666.076,189156.515
E02000095,Brent 003,E09000005,Brent,E12000007,London,9921,9783,138,64.1,3117,3.1,519253.376,188678.364
E02000096,Brent 004,E09000005,Brent,E12000007,London,7598,7535,63,46.5,2518,3,517633.435,188209.928
E02000097,Brent 005,E09000005,Brent,E12000007,London,8958,8958,0,47.9,2926,3.1,520391.104,187860.628
