MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y,HousingPrice,CC_w,BC_w
E02000001,City of London 001,E09000001,City of London,E12000007,London,7375,7187,188,25.5,4385,1.6,532482.704,181269.31,948773,4.6475,302024.375
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,6775,6724,51,31.3,2713,2.5,548312.915,189881.379,291021.25,3.667651007,17128909.83
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,10045,10033,12,46.9,3834,2.6,548454.925,188400.15,316439.5,3.742010582,38405860.6
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,6182,5937,245,24.8,2318,2.6,551008.972,186310.934,333975.75,3.491686747,1734522.072
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,8562,8562,0,72.1,3183,2.7,548667.089,186903.344,325209.75,3.771029412,35873254.68
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,8791,8672,119,50.6,3441,2.5,549648.734,186561.03,287400.75,3.661342282,31617153.23
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,11569,11564,5,81.5,4591,2.5,548139.58,185911.094,282557.5,3.851637427,14236292.95
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,8395,8376,19,87.4,3212,2.6,546964.945,185757.091,289244,4.014246575,25353425.19
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,8615,8615,0,76.8,3292,2.6,549064.212,185295.467,284603,3.729462366,4513575.108
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,6187,6086,101,38.8,2289,2.7,550508.53,185162.338,303354.5,3.588426966,2412926.674
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,9888,9879,9,76,3258,3,545635.977,184893.291,416188.5,4.197398374,47737100.03
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,8402,8396,6,64.4,3125,2.7,547277.303,184854.721,302289.5,4.000357143,8721122.063
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,9402,9319,83,78.8,3531,2.6,548785.43,184554.689,288885.5,3.79245098,17928247.27
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,7563,7549,14,55.5,3170,2.4,550075.964,184230.847,262937.25,3.641783439,18500602.6
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,7676,7670,6,86.6,2934,2.6,544028.738,184316.864,225405,4.473115942,68572435.97
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,8498,8468,30,97,2729,3.1,544838.197,184459.673,338900.75,4.326103896,86736838.81
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,8890,8884,6,65.5,3326,2.7,546552.953,184299.075,325064.5,4.100522876,30975551.16
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,8276,8234,42,27.2,3010,2.7,548167.56,183256.82,293019.25,3.90357513,17295728.17
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,9276,9274,2,27.1,3460,2.7,546104.068,182741.587,290258.25,4.144969339,13921626.46
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,7904,7798,106,27.4,2949,2.6,549508.429,182827.519,277241.5,3.719416667,19109183.35
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,8777,8684,93,117.2,3261,2.7,544383.739,183516.515,233149.75,4.410900901,26254508.25
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,6482,6482,0,37.1,2431,2.7,546653.193,183109.225,249414,4.061744186,8466095.407
E02000024,Barnet 001,E09000003,Barnet,E12000007,London,10156,9969,187,27.1,4110,2.4,524414.922,197000.696,584470.75,3.94374359,7337204.744
E02000025,Barnet 002,E09000003,Barnet,E12000007,London,7956,7929,27,33.1,3622,2.2,525971.15,196718.558,489034,4.057954545,4938587.28
E02000026,Barnet 003,E09000003,Barnet,E12000007,London,6313,6276,37,43.1,2496,2.5,527682.625,195951.601,558811.5,4.123166667,6039437.083
E02000027,Barnet 004,E09000003,Barnet,E12000007,London,9598,9499,99,57.3,3705,2.6,524409.516,195592.819,489678,3.961560976,6395437.044
E02000028,Barnet 005,E09000003,Barnet,E12000007,London,6166,6107,59,58.4,2473,2.5,526170.787,195509.996,540121.75,4.240392157,22513670.92
E02000029,Barnet 006,E09000003,Barnet,E12000007,London,8517,8507,10,50.6,3513,2.4,527246.062,195340.004,473899.5,4.230496454,12095533.05
E02000030,Barnet 007,E09000003,Barnet,E12000007,London,9130,9013,117,6.3,3410,2.6,522735.986,194776.055,1129266.25,4.003085783,15338020.8
E02000031,Barnet 008,E09000003,Barnet,E12000007,London,7294,7150,144,37.6,2817,2.5,526484.43,194241.253,670633,4.422835821,40361140.49
E02000032,Barnet 009,E09000003,Barnet,E12000007,London,7857,7825,32,56.2,2742,2.9,528839.224,194154.454,687503.75,4.393826087,9516641.304
E02000033,Barnet 010,E09000003,Barnet,E12000007,London,8537,8438,99,48.1,3317,2.5,528235.721,193569.3,472367.75,4.501230769,17066397.55
E02000034,Barnet 011,E09000003,Barnet,E12000007,London,8508,8450,58,54.6,3403,2.5,527071.743,193128.87,534940.75,4.6,31152385.89
E02000035,Barnet 012,E09000003,Barnet,E12000007,London,7965,7783,182,61.4,3381,2.3,525825.978,193028.157,637808.25,4.566853147,13113520.58
E02000036,Barnet 013,E09000003,Barnet,E12000007,London,10743,10689,54,59.9,3942,2.7,520325.712,193009.733,520285.25,4.15408377,12719899.07
E02000037,Barnet 014,E09000003,Barnet,E12000007,London,9741,9741,0,22.5,3397,2.9,518863.643,193601.776,578186.75,4.032819803,13500043.69
E02000038,Barnet 015,E09000003,Barnet,E12000007,London,10514,10285,229,59.7,4049,2.5,527828.319,192351.145,544991.25,4.725460526,26539949.66
E02000039,Barnet 016,E09000003,Barnet,E12000007,London,6675,6675,0,31.3,2485,2.7,521813.187,192189.923,973351.5,4.364888889,19083118.98
E02000040,Barnet 017,E09000003,Barnet,E12000007,London,7197,7094,103,14,2649,2.7,523480.991,192439.827,669258.25,4.461687243,8913720.782
E02000041,Barnet 018,E09000003,Barnet,E12000007,London,8811,8762,49,65.3,3120,2.8,519703.368,191930.194,509396.5,4.27034965,20507628.62
E02000042,Barnet 019,E09000003,Barnet,E12000007,London,10639,10458,181,87.7,4421,2.4,526260.063,191902.63,491401.5,4.776557377,40820957.08
E02000043,Barnet 020,E09000003,Barnet,E12000007,London,7696,7616,80,52.4,2693,2.8,525158.677,192116.703,721919.25,4.671881188,6847035.624
E02000044,Barnet 021,E09000003,Barnet,E12000007,London,8071,8071,0,72.9,2862,2.8,521003.185,191594.317,476948.5,4.392195122,9778803.22
E02000045,Barnet 022,E09000003,Barnet,E12000007,London,10237,10226,11,59,4168,2.5,527904.283,191323.834,493535.5,4.826256684,17016366.99
E02000046,Barnet 023,E09000003,Barnet,E12000007,London,7063,7000,63,72.9,2860,2.4,525550.38,190761.629,654065,4.85875,40314401.69
E02000047,Barnet 024,E09000003,Barnet,E12000007,London,11373,11207,166,80,4036,2.8,520442.475,190746.136,361215.5,4.452887324,25998982.51
E02000048,Barnet 025,E09000003,Barnet,E12000007,London,9817,9817,0,31.8,3784,2.6,523468.782,190795.23,622952,4.633732719,14632737.14
E02000049,Barnet 026,E09000003,Barnet,E12000007,London,8503,8503,0,107.9,3028,2.8,521558.015,190714.061,392635.5,4.472352941,2540659.882
E02000050,Barnet 027,E09000003,Barnet,E12000007,London,10064,10052,12,47.5,3853,2.6,526728.06,190620.153,519546.75,4.959166667,31135816.58
E02000051,Barnet 028,E09000003,Barnet,E12000007,London,8647,8569,78,59.7,3537,2.4,524820.401,189902.53,761853.25,4.962727273,56400688.62
E02000052,Barnet 029,E09000003,Barnet,E12000007,London,9698,9698,0,100.1,4163,2.3,526944.05,189657.623,633052.25,5.107581699,40664529.88
E02000053,Barnet 030,E09000003,Barnet,E12000007,London,8697,8250,447,56.1,3244,2.5,521558.12,189734.194,423029.5,4.664256757,44228733.05
E02000054,Barnet 031,E09000003,Barnet,E12000007,London,7206,7175,31,48,2774,2.6,522609.444,189700.42,584437,4.779,23039681.92
